Date,Open,High,Low,Close,Adj Close,Volume
2023-06-13,36.959999,37.840000,36.959999,37.650002,37.330994,16449900
2023-06-14,37.840000,37.970001,37.040001,37.360001,37.043453,14879200
2023-06-15,37.189999,38.259998,37.180000,38.029999,37.707771,15692500
2023-06-16,38.119999,38.250000,37.650002,37.959999,37.638367,14518700
2023-06-20,37.700001,37.840000,36.919998,37.320000,37.003792,14380100
2023-06-21,37.310001,37.310001,36.880001,37.009998,36.696411,9085800
2023-06-22,36.779999,36.959999,36.360001,36.660000,36.349380,8616300
2023-06-23,35.930000,36.439999,35.799999,36.180000,35.873444,10153500
2023-06-26,36.029999,36.990002,36.029999,36.700001,36.389042,11904900
2023-06-27,37.009998,37.520000,36.450001,37.480000,37.162434,9125200
2023-06-28,37.500000,38.209999,37.410000,38.189999,37.866417,12882100
2023-06-29,38.330002,38.619999,38.000000,38.200001,37.876331,10460300
2023-06-30,38.310001,38.860001,38.000000,38.560001,38.233284,11612500
2023-07-03,38.740002,39.139999,38.630001,38.959999,38.629894,5578300
2023-07-05,39.099998,39.540001,38.910000,39.419998,39.085995,12110000
2023-07-06,38.919998,39.470001,38.599998,39.459999,39.125656,13108100
2023-07-07,39.540001,39.980000,39.320000,39.610001,39.274387,10604100
2023-07-10,39.580002,39.750000,39.189999,39.639999,39.304131,10507300
2023-07-11,39.570000,40.099998,39.160000,39.970001,39.631332,11399600
2023-07-12,40.840000,40.970001,40.380001,40.410000,40.067608,14534200
2023-07-13,40.720001,41.040001,40.410000,40.500000,40.156845,12446400
2023-07-14,40.610001,40.700001,39.939999,40.000000,39.661079,11044500
2023-07-17,39.480000,39.540001,38.509998,38.750000,38.421673,16143000
2023-07-18,38.740002,39.189999,38.549999,39.130001,38.798454,13306900
2023-07-19,39.299999,39.580002,39.160000,39.230000,38.897602,12775300
2023-07-20,38.970001,39.330002,38.720001,39.259998,38.927349,10626400
2023-07-21,39.639999,39.669998,38.340000,38.549999,38.223366,13619500
2023-07-24,38.869999,39.480000,38.759998,39.299999,38.967010,18209200
2023-07-25,37.730000,38.779999,37.110001,37.919998,37.598705,30599100
2023-07-26,37.959999,38.450001,37.639999,38.290001,37.965572,15673500
2023-07-27,38.730000,39.450001,38.529999,38.970001,38.639809,17589300
2023-07-28,38.750000,38.980000,37.740002,38.049999,37.727600,17473700
2023-07-31,38.150002,38.369999,37.799999,38.369999,38.044891,12138200
2023-08-01,38.040001,38.360001,37.900002,38.119999,37.797012,10232100
2023-08-02,37.630001,37.830002,37.259998,37.389999,37.073196,15516400
2023-08-03,37.189999,37.189999,36.630001,36.919998,36.607178,14754800
2023-08-04,36.849998,37.090000,36.369999,36.570000,36.260143,12405300
2023-08-07,36.830002,37.099998,36.360001,37.090000,36.775738,9910700
2023-08-08,36.279999,36.880001,36.099998,36.840000,36.527855,10281700
2023-08-09,36.500000,36.810001,36.209999,36.259998,35.952770,8254500
2023-08-10,36.299999,36.360001,34.000000,34.160000,33.870567,25601500
2023-08-11,34.029999,34.169998,33.419998,33.889999,33.602852,20514200
2023-08-14,33.450001,34.209999,33.419998,34.070000,33.781326,15853800
2023-08-15,33.599998,33.779999,33.220001,33.299999,33.017849,13365800
2023-08-16,33.150002,33.279999,32.709999,32.820000,32.541916,15254600
2023-08-17,33.070000,33.330002,32.759998,32.919998,32.641068,11476100
2023-08-18,32.580002,33.200001,32.570000,33.119999,32.839375,11778200
2023-08-21,33.250000,33.410000,32.980000,33.270000,32.988106,10766100
2023-08-22,33.470001,33.480000,32.849998,32.930000,32.650986,8634600
2023-08-23,32.840000,33.570000,32.759998,33.560001,33.275650,10262700
2023-08-24,33.400002,33.580002,32.759998,32.880001,32.601410,7875600
2023-08-25,33.070000,33.299999,32.049999,32.950001,32.670818,14298000
2023-08-28,33.259998,33.450001,32.930000,33.119999,32.839375,7393500
2023-08-29,33.220001,33.509998,33.080002,33.459999,33.176495,7511900
2023-08-30,33.459999,33.700001,33.349998,33.389999,33.107086,7856500
